id,name,age,dob,height_cm,weight_kg,nationality,wage_eur,international_reputation,preferred_foot,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys
158023,L. Messi,34,24/6/1987,170,158,Argentina,RM560000,6,Left,85,95,70,91,88
20801,Cristiano Ronaldo,36,5/2/1985,187,83,Portugal,RM220000,6,Right,84,95,90,82,86
200389,J. Oblak,28,7/1/1993,188,87,Slovenia,RM125000,3,Up,13,11,15,43,13
188545,R. Lewandowski,32,21/8/1988,184,80,Poland,RM240000,4,Right,71,94,85,84,89
188545,R. Lewandowski,32,21/8/1988,184,80,Poland,RM240000,4,Right,71,94,85,84,89
190871,Neymar Jr,29,5/2/1992,175,68,Brazil,RM270000,6,Right,85,87,62,87,87
192985,K. De Bruyne,30,28/6/1991,181,70,Belgium,RM370000,4,,94,82,55,94,82
231747,K. Mbappé,22,20/12/1998,178,73,France,RM160000,3,Right,78,91,73,83,83
192448,M. ter Stegen,29,30/4/1992,187,85,Germany,RM260000,3,Right,18,14,11,61,14
203376,V. van Dijk,30,8/7/1991,193,92,Netherlands,RM210000,3,Right,53,52,87,79,45
212831,Alisson,28,2/10/1992,191,200,Brazil,RM160000,3,Right,17,13,19,45,20
208722,S. Mané,29,10/4/1992,175,69,Senegal,RM250000,3,Right,76,90,84,85,75
209331,M. Salah,29,15/6/1992,175,71,Egypt,RM250000,3,left,79,91,59,84,79
209331,M. Salah,29,15/6/1992,175,71,Egypt,RM250000,3,Left,79,91,59,84,79
192119,T. Courtois,29,11/5/1992,199,96,Belgium,RM250000,4,Left,14,14,13,33,12
153079,S. Agüero,33,2/6/1988,173,70,Argentina,RM300000,4,RIGHT,70,94,78,83,86
155862,Sergio Ramos,35,30/3/1986,.,82,Spain,RM300000,4,Right,66,65,92,82,69
155862,Sergio Ramos,35,30/3/1986,184,180,Spain,RM300000,4,,66,65,92,82,69
165153,K. Benzema,33,19/12/1987,185,81,France,RM350000,4,Right,75,88,91,86,86
167495,M. Neuer,35,27/3/1986,193,92,Germany,RM125000,5,Right,15,13,25,55,11
200145,Casemiro,29,23/2/1992,185,84,Brazil,RM310000,3,Right,58,64,80,84,63
200145,Casemiro,29,23/2/1992,185,,Brazil,RM310000,3, Right,58,64,80,84,63
210257,Ederson,27,17/8/1993,188,86,Brazil,RM195000,2, Left ,20,14,14,57,18
202652,R. Sterling,26,8/12/1994,170,69,England,RM270000,3,Right,78,85,46,84,67
212622,J. Kimmich,26,8/2/1995,.,73,Germany,RM145000,3,,91,66,72,87,67
202126,H. Kane,27,28/7/1993,188,89,England,RM220000,3,Right,75,94,85,81,85
211110,P. Dybala,27,15/11/1993,177,75,Argentina,RM190000,3,Left,82,84,64,87,88
162835,S. Handanovič,36,14/7/1984,193,92,Slovenia,RM100000,3,Right,12,10,10,42,12
182521,T. Kroos,31,4/1/1990,183,,Germany,RM310000,4,Right,88,76,58,93,82
183277,E. Hazard,30,7/1/1991,.,74,Belgium,RM350000,4,Right,77,82,61,85,83
201024,K. Koulibaly,30,20/6/1991,187,89,Senegal,RM140000,3,Right,30,22,84,74,14
215914,N. Kanté,30,29/3/1991,168,70,France,RM190000,3,Right,68,65,54,85,56
233049,J. Sancho,21,25/3/2000,180,,England,RM82000,3,Right,83,81,38,88,83
231281,T. Alexander-Arnold,22,7/10/1998,180,69,England,RM110000,2,Right,93,56,69,85,62
212198,Bruno Fernandes,26,8/9/1994,179,69,Portugal,RM195000,2,Right,87,77,58,88,86
212218,A. Laporte,27,27/5/1994,189,85,France,RM200000,2,Left,58,45,86,82,40
209499,Fabinho,27,23/10/1993,188,78,Brazil,RM155000,3,Right,75,63,75,85,47
216267,A. Robertson,27,11/3/1994,178,64,Scotland,RM155000,3,Left,,,,,
218667,Bernardo Silva,26,10/8/1994,173,64,Portugal,RM230000,2,Left,85,79,51,86,70
138956,G. Chiellini,36,14/8/1984,187,85,Italy,RM94000,4,Left,54,33,83,65,45
167948,H. Lloris,34,26/12/1986,188,82,France,RM125000,4,Left,13,10,10,50,11
176580,L. Suárez,34,24/1/1987,182,86,Uruguay,RM280000,5,Right,80,92,84,83,90
177003,L. Modrić,35,9/9/1985,172,66,Croatia,RM260000,4,Right,86,72,55,91,76
183898,A. Di María,33,14/2/1988,180,69,Argentina,RM160000,4,Left,88,79,51,83,78
186153,W. Szczęsny,31,18/4/1990,195,90,Poland,RM105000,3,Right,12,12,16,32,14
188567,P. Aubameyang,32,18/6/1989,187,80,Gabon,RM170000,3,Right,76,91,75,77,84
189511,Sergio Busquets,32,16/7/1988,189,76,Spain,RM240000,4,Right,62,67,68,89,44
192387,C. Immobile,31,20/2/1990,185,85,Italy,RM125000,3,Right,,,,,
193041,K. Navas,34,15/12/1986,185,80,Costa Rica,RM110000,3,Right,11,15,11,30,11
194765,A. Griezmann,30,21/3/1991,176,73,France,RM290000,4,Left,83,88,83,84,87
200104,H. Son,28,8/7/1992,183,78,Korea Republic,RM165000,3,Right,81,86,68,83,81
201942,Roberto Firmino,29,2/10/1991,181,76,Brazil,RM190000,3,Right,73,80,75,87,85
201535,R. Varane,28,25/4/1993,191,81,France,RM220000,3,Right,42,46,85,78,42
195864,P. Pogba,28,15/3/1993,191,84,France,RM190000,4,Right,80,75,75,86,84
199556,M. Verratti,28,5/11/1992,165,60,Italy,RM135000,3,Right,75,60,55,90,64
143076,A. Gómez,33,15/2/1988,167,68,Argentina,RM100000,3,Right,83,80,38,86,72
152729,Piqué,34,2/2/1987,194,85,Spain,RM220000,4,Right,57,65,84,81,57
168542,David Silva,35,8/1/1986,173,67,Spain,RM58000,4,Left,84,72,53,92,82
177683,Y. Sommer,32,17/12/1988,183,79,Switzerland,RM55000,3,Right,,,,,
178603,M. Hummels,32,16/12/1988,191,94,Germany,RM93000,4,Right,65,55,87,82,60
183711,J. Henderson,31,17/6/1990,182,80,England,RM140000,2,Right,82,73,65,86,71
189332,Jordi Alba,32,21/3/1989,170,68,Spain,RM220000,3,Left,85,73,70,84,60
189596,T. Müller,31,13/9/1989,186,75,Germany,RM130000,4,Right,85,85,81,84,84
193080,De Gea,30,7/11/1990,192,82,Spain,RM150000,4,Right,17,13,21,50,13
204963,Carvajal,29,11/1/1992,173,73,Spain,RM230000,3,Right,84,51,72,83,49
208830,J. Vardy,34,11/1/1987,179,74,England,RM160000,3,Right,68,92,79,69,82
235790,K. Havertz,22,11/6/1999,188,83,Germany,RM105000,3,Left,73,85,78,84,80
230621,G. Donnarumma,22,25/2/1999,196,90,Italy,RM34000,3,Right,12,12,12,34,8
235243,M. de Ligt,21,12/8/1999,189,89,Netherlands,RM80000,3,Right,52,50,86,75,45
231677,M. Rashford,23,31/10/1997,186,70,England,RM150000,2,Right,77,83,68,81,73
